words level
cataclysme B2
catalogue B1
catamaran B2
catastrophe B1
categorie B2
cathedrale A2
catholicisme B2
catholique B1
cause B1
"causer " B1
"cave " B1
CD A2
CE1 B2
CE2 B2
cecite B2
ceder B2
ceinture A1
cela B2
celebre A2
celebrer B1
celeri B2
celibat B2
celibataire A1
cellule B2
cendrier B1
censure B2
cent A1.1
centaine B1
centieme B1
centilitre B2
centime B1
centimetre A1
"centimetre carre" A1
central B1
centrale B2
centre A1
"centre aere" B2
"centre commercial" A1
"centre d'accueil" B2
"centre d'apprentissage" B1
"centre de formation" B1
"centre de securite sociale" B2
"centre des impots" B1
"centre d'interet " B2
centre-ville A1
cependant B1
cercle B1
cereales B1
cerebral B2
ceremonie B1
cerf B2
cerise B1
cerisier B1
certain A1
certainement A2
certains B1
certificat B1
"certificat de controle technique" B2
"certificat de travail" B1
"certificat medical" B1
certifier B2
certitude B2
cerveau B2
cervical B2
"ces jours-ci" B2
"c'est " A1
"c'est pourquoi" B1
chagrin B1
chagrine B2
chagriner B2
chaine A1
chaise A1.1
chalet B2
chaleur B1
chambre A1.1
"chambre des deputes" B1
"chambre d'etudiant" B1
"chambre d'hote" B1
champ A1
champagne B2
champion B1
championnat B1
change A1
changeant B2
"changement  " B1
changer A1
"changer d'adresse" A2
chanson A2
chant B2
chanter A1.1
chanteur A2
chapeau A1
chaque B1
charcuterie B1
charcutier A2
charge B2
charger B1
charges B2
chariot B1
chasse B2
chasser B2
chasseur B2
chat A1.1
chataigne B2
chataignier B2
chatain B1
"chateau " B1
chaud A1.1
chauffage A1
chauffer B2
chauffeur B1
chaussette A1
"chausson aux pommes" B2
chaussons B2
chaussure A1.1
chauve B1
chef A1
"chef de cabine" B2
"chef de service" B2
"chef d'entreprise" B1
"chef d'Etat" B1
"chef d'orchestre" B2
"chef du personnel" B2
chemin A1
chemise A1.1
"chemise de nuit" B2
chemisier B2
chene A2
chenille B2
cheque A1
"cheque postal" B2
cheque-voyage B2
chequier B2
cher A1
chercher A1
"chercher a " B1
cheval A2
cheveu A1.1
chevre B2
chevreuil B2
chiant B2
chic A2
chicon B2
chien A1.1
chiffre A2
chimie B1
chimique B2
chinois B1
chips B2
chirurgical B1
chirurgie B1
chirurgien A1
chlore B2
choc B2
chocolat A2
churs B2
choisir A1
cholesterol B2
chomage A1
chomeur A2
chope B2
choquer B1
chorale B2
chorizo B2
chou B1
chouette B2
chou-fleur B2
chretien B2
christianisme B2
chromosome B2
chronique B2
chrysantheme B2
chuchoter B2
chute B1
cicatrice B2
cigare B1
cigarette A1
cigogne B2
"cil " B2
ciment B2
cinema A1.1
cinematographique B2
cinquantaine B2
cinquieme B2
circonference B2
circuit B1
circulaire B2
circulation A2
circuler B1
cirque A2
ciseaux A1
citadin B2
citation B2
cite B1
"cite universitaire" B1
citer B2
citoyen A1
citron B2
citronnier B2
clair A2
clairiere B2
clandestin B1
clarinette B2
clarinettiste B2
clarte B2
classe A1.1
classe B1
"classe politique" B2
classer B1
classeur B1
classification B2
clavicule B2
clavier B2
cle A1
clementine B2
client A1
clientele B1
clignotant B1
climat A2
"climat social" B2
climatisation B2
clinique A1
cloche B2
clore B2
cloture B2
club A1.1
CM1 B2
CM2 B2
coach B1
coca B2
cocher A2
cochon A1
cocker B2
cocotier B2
cocotte B2
"code  " B1
"code postal" A1
coefficient B2
coeur A1
coffre B2
cognac B2
cognitif B2
cognition B2
coiffer A1
coiffeur B2
coin B1
coincider B2
col B2
colere A2
colereux B2
colin B2
colis A1
collaborateur B2
collant A1
colle A1
collectif B1
collection B1
collectionner B1
collectivisme B2
collectivite B2
college A1
collegue A1
coller A2
colline B2
colocataire B1
"colonne vertebrale" B2
colorant B1
coloration B2
colore B1
colorer B2
colorier B2
coloris B2
coma B2
combien A1.1
combinaison B2
combine B2
combiner B2
combustion B2
comedien A2
"comite d'entreprise" B1
commander A2
comme A1
"comme il faut" B2
commencement B2
commencer A1.1
commercant A2
commerce A1
commercial B2
commissaire B1
"commissaire de bord" B2
"commissaire de police" B2
"commissariat de police" A1
commode B2
communal B2
communautaire B2
communaute B2
commune B1
communication B1
communiquer B1
communisme B2
communiste B1
commutativite B2
compagne B1
compagnon A1
comparatif B2
compartiment B2
competence B1
"competent " B1
competition A2
complement B1
complet A1
completer A2
complique B1
comportement B1
composante B2
composer B1
composition B2
composter B1
comprehension B1
comprendre A1.1
compresse B1
comprime A2
compris B1
comptant B2
compte A2
"compte cheque postal" B2
"compte epargne" B2
compter A1
comptoir B1
comte B1
conceder B2
concentration B2
concentre B2
concentrer B2
concept B2
concepteur B2
conception B2
conceptualiser B2
concerner B2
concert A1.1
concession B2
concevoir B2
concierge B2
conciliant B2
concilier B2
conclure B1
conclusion B1
concours A2
concret B1
concubin B2
concubinage B2
concurrent B2
condamnation B2
condamner B2
condiment B2
condition B1
conditionnel B1
"conditions de travail" B1
conducteur B1
conduire A2
conduite B2
cone B2
confection B2
confession B2
confiance B1
confiant B1
confier B2
confirmer B1
confit B2
confiture B1
conflit B1
conforme B2
conformite B2
confort B1
confortable A2
"conge de maladie" B1
congele B2
congeler B2
congenital B2
conges B2
conjoindre B2
conjointement B2
conjonction B2
conjoncture B2
conjugaison A1
connaissance A2
"connaissance de l'environnement" B2
connaitre A1.1
connecter A2
connexion B2
conscience B1
"consecutif a" B2
conseil A2
"conseil federal" B2
"conseil national" B2
conseiller B2
consequence B1
conservateur B1
conserve B1
conserver B1
considerable B2
consigne B1
consistance B2
consoler B2
consommateur B1
consommation B1
consommer B1
constamment B2
constant B2
constante B2
constater B1
consternation B2
constituant B2
constituer B2
constitution B1
construire B2
consulat A2
consultation A1
consulter B2
contact B1
contacter A2
contagieux B1
contagion B2
contamination B2
contemporain B1
contenance B2
contenir B1
content A1
contenter B2
"contester " B2
continent A2
continental B1
continu B1
continuation B2
continuel B2
continuellement B1
continuer A1
continuite B2
contracter B2
contrarie B2
contrarier B2
contrariete B2
contrat A2
"contrat a duree determinee" B2
"contrat a duree indeterminee" B2
"contrat de droit prive" B2
"contrat de travail" B1
contravention B1
contre B1
contreplaque B2
contribuer B2
contribution B2
controle A2
"controle antipollution" B2
"controle d'identite" B1
"controle technique" B2
controler A2
controleur B1
convaincre B1
convalescence B2
convalescent B2
convenir B2
convention B2
convenu B2
convergence B2
conversation A1
convexe B2
coordonnees B2
copain/copine A1.1
"copie conforme" B1
copier A2
copieux B2
copine A1
coproprietaire B2
co-propriete B2
coq B1
"coq au vin" B2
coqueluche B2
coquillages B1
coquille B2
"coquille Saint-Jacques" B2
coquillettes B2
corbeau B2
corde B2
corn-flakes B2
cornichon B1
corporel B2
corps A1
corpulence B2
correct A2
correction A2
correspondance A1
correspondant B1
correspondre B1
corriger A1
cortege B2
costume B2
cote A2
cote B1
"cote couloir/fenetre" B2
"cote cour" B2
"cote de popularite" B2
"cote jardin" B2
coteau B2
cotelette B2
coter B2
cotes-du-Rhone B2
cotier B2
cotisation B2
"cotisations sociales" B2
cotiser B2
coton A1
coton-tige B2
cou A2
couche B2
couche A1
coucher A1.1
couchette B2
coude B2
couette B1
couler B2
couleur A1.1
couleuvre B2
coulisse B2
couloir A2
coup A2
coupe B2
couper A2
"couper les cheveux" B2
couple A1
coupon B2
coupure B1
cour A2
courage A1
courageux A2
couramment B1
courant B1
courbe B1
courbe B2
courber B2
coureur B2
courir A1.1
courriel A1
courrier A1
"courrier electronique" B2
cours A1.1
"cours de dessin" A1.1
"cours elementaire" B2
"cours moyen" B2
"cours preparatoire" B2
course A2
"course a pied" B2
courses A2
court A1
"court metrage" B2
couscous A2
cousin B2
cout B1
couteau A1
couter A1.1
couture B2
couvent B2
couvert B2
couverts A2
couverture B2
"couverture sociale" B2
covoiturage B1
crabe B1
craie B2
