words;level
beurre;A1.1
beurrer;B2
bibliothécaire;B1
bibliothèque;A1
biceps;B2
biche;B2
bicyclette;A1
bien;A1.1
bien cuit;B2
bien payé;B2
bien portant;B2
bien que;B1
bien-être;B2
bientôt;A1
bière;A1
bilan;B2
bile;B2
bilingue;B1
billard;B2
billet;A1
bimensuel;B2
bio;B2
bio-;B2
biologie;B1
biologique ;B1
biscuit;A2
bissectrice;B2
bistro;B2
bizarre;A2
bizarrement;B2
bizarrerie;B2
blanc;A1.1
blanc (n);A2
blanche (viande);B2
blanchir;B1
blé;B1
blessé;A2
blesser (se);B1
blessure;B1
bleu;A1.1
bloc opératoire;B1
blog;B1
blond;A1.1
blondes (cigarettes);B2
bloquer;B2
blouson;B2
bœuf;A1
boire;A1.1
bois (matière + forêt);A2
boisé;B2
boisson;A1.1
boîte;A1
boîte aux lettres;A1
boîte postale;B2
boiter;B2
bol;B2
bon (adj.);A1.1
bon à rien;B2
bon marché;B2
bon sens;B2
bonbon;A2
bondé;B2
bonnet;A2
bord  ;B1
bord de mer;B1
bordeaux;B1
borgne;B2
borne;B2
botte(s);A2
bottines;B2
bouc;B2
bouche;A1.1
boucher (n.);A2
boucher (v.);B2
boucherie;A1
bouchon;B2
bouclé;B1
boucler sa ceinture (de sécurité);B2
bouddhisme;B2
bouddhiste;B1
bouder;B2
boudin;B2
bouger;A2
bougie;B1
bouillant;B1
bouilli;B2
bouillir;B1
bouillon;B2
boulanger;A2
boulangerie;A1.1
boule ;B1
bouleau;B2
boules (jeu);B2
boulevard;A1
boulversement;B2
boulverser;B2
bouquet;A1
bouquet (odeur);B2
bourg;B2
bourgogne;B2
bourguignon;B2
boursier;B2
bousculer;B2
bout;B1
bouteille;A2
bouteille d'eau;A1.1
boutique;A1
bouton;B1
bowling;B2
boxe;B2
boxer;B2
boxeur;B2
branchement;B2
brancher;A2
bras;A1.1
brasserie;B1
brave;B2
brebis;B2
bref;B1
bretelles;B2
brevet de technicien supérieur;B1
bricolage;B1
bricoler;B1
bricoleur;B2
bridge;B2
brie;B1
brièvement;B1
brillant;B1
brioche;A2
briquet;A2
briser;B2
broche;B2
brochette;B1
broderie;B2
bronchite;A2
bronzage;B1
bronze;B2
bronzé;A2
bronzer;B1
brosse;A2
brosse à dents;A1.1
brosser;B2
brosser (se - les dents);A1
brouillard;A1
brouiller (se);B2
brouillon;B2
bru;B2
bruiner;B2
bruit;A1
brûlant;A2
brûlé;A2
brûler (se);A2
brûler un feu rouge;B2
brûlure;A2
brûlure d'estomac;B2
brume;B2
brumeux ;B2
brun;A1.1
brunes (cigarettes);B2
brunir;B2
brusque;B2
brusquement;B2
brusquer;B2
brut;B1
bruyant;A2
buccal;B2
budget;B1
buffet;B1
buffle;B2
bulletin (de météo, de vote);B2
bulletin de salaire;B1
bureau;A1
bureau de chômage;B2
bureau de poste;A2
bureau de tabac;A2
bureau de vote;B1
bureau d'embauche;B2
bureau du personnel;B2
bus;A2
buste;B2
but;B1
ça et là;B2
cabane;B2
cabaret;B2
cabillaud;B2
cabine;B1
cabinet de recrutement;B2
cabinet médical;B1
cacahuète;B2
caché;B2
cache-cache;B2
cachet;A2
caddie;B2
cadeau;A1.1
cadences;B2
cadet;B2
cadran;B2
cadre;B1
cadre supérieur;B2
cafard;B2
café;A1
café crème;B2
cafétéria;A2
café-théâtre;B2
cagibi;B2
cagoule;B2
cahier;A1
caisse;A1
caisse de retraite;B1
Caisse d'épargne;B2
caisse-maladie;B2
caissier;A2
cake;B2
calcaire;B2
calcium;B2
calcul;B2
calculer;A2
calme;A2
calmer (se);B1
calomnie;B2
calomnier;B2
calorie;B2
camarade;B2
camaraderie;B2
camembert;B1
camion;A2
camionnette;B2
campagnard;B2
campagne;A1.1
camper;A2
campeur;B1
camping;A1.1
camping (faire du -);A2
camping-car;B1
campus;B1
canal;B2
canapé;B1
canard;A2
cancer;A2
cancéreux;B2
cancérologie;B2
cancérologue;B2
candidat;B1
candidature;B2
cane;B2
caniche;B2
canne;B1
canne à pêche;B2
cannelle;B2
cantine;A1
canton;A2
cantonal;B2
capable;B1
capacité;B2
capitaine;B1
capital;B2
capitale;A2
capitalisme;B2
capot;B2
caprice;B2
capsule;B2
car;B1
caractère;B1
caractéristique (adj+n.);B1
carafe;B1
carambolage;B2
caravane;B1
carburant;B2
cardiaque;B2
cardinal;B2
cardiologie;B2
cardiologique;B2
cardiologue;B1
caricaturiste;B2
carie;B2
caritatif;B2
carnet;B2
carnet de chèques;B2
carnet de mariage;B2
carotte;B1
carré;A1
carré (n.);B1
carrefour;A1
carrière;B1
carrure;B2
cartable;A2
carte;A1
carte bancaire;A1
carte de crédit;B2
carte de paiement;B2
carte de séjour;B1
carte d'identité;B1
carte grise;B2
carte hebdomadaire/mensuelle;B2
carte postale;A1.1
carte prépayée;B2
carte professionnelle médicale;B2
carte professionnelle pour étranger;B1
carte Vitale;B1
carton;A2
cartonné;B2
cartouche;B2
cas;B2
cascade;B2
casier;B2
casino;B2
casquette;A1.1
casquette ;A2
cassable;B2
cassant;B2
cassé;A2
casser;A2
casser (se);B1
casser la figure (se);B2
casser les oreilles;B2
casserole;A2
cataclysme;B2
catalogue;B1
catamaran;B2
catastrophe;B1
catégorie;B2
cathédrale;A2
catholicisme;B2
catholique;B1
cause;B1
cause (à - de );B1
causer ;B1
cave ;B1
CD;A2
CE1;B2
CE2;B2
cécité;B2
céder;B2
ceinture;A1
cela;B2
célèbre;A2
célébrer;B1
céleri;B2
célibat;B2
célibataire;A1
cellule;B2
cendrier;B1
censure;B2
cent;A1.1
centaine;B1
centième;B1
centilitre;B2
centime;B1
centimètre;A1
centimètre carré;A1
central;B1
centrale;B2
centre;A1
centre aéré;B2
centre commercial;A1
centre d'accueil;B2
centre d'apprentissage;B1
centre de formation;B1
centre de sécurité sociale;B2
centre des impôts;B1
centre d'intérêt ;B2
centre-ville;A1
cependant;B1
cercle;B1
céréales;B1
cérébral;B2
cérémonie;B1
cerf;B2
cerise;B1
cerisier;B1
certain (adj);A1
certainement;A2
certains (n);B1
certificat;B1
certificat de contrôle technique;B2
certificat de travail;B1
certificat médical;B1
certifier;B2
certitude;B2
cerveau;B2
cervical;B2
ces jours-ci;B2
c'est ;A1
c'est pourquoi;B1
chagrin;B1
chagriné;B2
chagriner;B2
chaîne;A1
chaîne (de montagne);B2
chaise;A1.1
châlet;B2
chaleur;B1
chambre;A1.1
chambre des députés;B1
chambre d'étudiant;B1
chambre d'hôte;B1
champ;A1
champagne;B2
champion;B1
championnat;B1
change;A1
changeant;B2
changement  ;B1
changer;A1
changer d'adresse;A2
chanson;A2
chant;B2
